INSTNM,STABBR,ADM_RATE,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT
Hot Springs Beauty College,AR,NULL,43,0.9302,0.0465,0.0233,0,0,0,0,0,0,NULL,NULL,NULL
Jefferson Regional Medical Center School of Nursing,AR,NULL,76,0.8421,0.1447,0.0132,0,0,0,0,0,0,NULL,NULL,NULL
John Brown University,AR,0.6982,1770,0.8017,0.0209,0.0525,0.009,0.0119,0.0006,0.0322,0.0667,0.0045,33326,22734,22734
Lees School of Cosmetology,AR,NULL,27,0.7778,0.1111,0.1111,0,0,0,0,0,0,NULL,NULL,NULL
Career Academy of Hair Design,AR,NULL,364,0.7033,0.0549,0.2088,0.0192,0.011,0,0,0,0.0027,NULL,NULL,NULL
Career Academy of Hair Design-Siloam Springs,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Career Academy of Hair Design-Rogers,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Career Academy of Hair Design-Fayetteville,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Marsha Kay Beauty College,AR,NULL,15,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL
Academy of Salon and Spa,AR,NULL,75,0.7867,0.0133,0.08,0.04,0.08,0,0,0,0,NULL,NULL,NULL
Mid-South Community College,AR,NULL,1263,0.3721,0.5574,0.0016,0.0063,0.0024,0.0016,0.0523,0.0063,0,13105,2458,7498
Arkansas Northeastern College,AR,NULL,1141,0.6512,0.2717,0.0473,0.0018,0.0009,0,0.0272,0,0,12538,1954,3634
Margaret's Hair Academy Inc,AR,NULL,65,0.5846,0.3077,0.0769,0.0154,0,0,0,0,0.0154,NULL,NULL,NULL
New Tyler Barber College Inc,AR,NULL,79,0,1,0,0,0,0,0,0,0,NULL,NULL,NULL
North Arkansas College,AR,NULL,1885,0.9082,0.0005,0.0472,0.0021,0.0048,0.0005,0.0302,0.0042,0.0021,9463,1896,4176
Northwest Technical Institute,AR,NULL,252,0.7381,0.0238,0.1865,0.0357,0.0079,0.0079,0,0,0,8855,2321,2321
Ouachita Baptist University,AR,0.7011,1513,0.8434,0.08,0.039,0.0106,0.0066,0.0013,0,0.0192,0,31473,22370,22370
