INSTNM,STABBR,ADM_RATE,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,COSTT4_A,TUITIONFEE_IN,TUITIONFEE_OUT
Atlantic Institute of Oriental Medicine,FL,NULL,27,0.1852,0.2593,0.4074,0.0741,0,0,0.0741,0,0,NULL,NULL,NULL
ATS Institute of Technology,OH,0.5629,504,0.1012,0.8095,0.0833,0.006,0,0,0,0,0,40651,26281,26281
Bennett Career Institute,DC,NULL,294,0,1,0,0,0,0,0,0,0,NULL,NULL,NULL
Blue Cliff College-Shreveport,LA,NULL,320,0.1719,0.8063,0.0125,0.0031,0.0031,0,0,0,0.0031,27251,16250,16250
Blue Cliff College-Lafayette,LA,NULL,291,0.2852,0.6942,0.0069,0.0034,0.0034,0,0,0,0.0069,25969,17308,17308
Quest College,TX,NULL,355,0.1859,0.307,0.4732,0.0169,0,0.0056,0,0.0085,0.0028,NULL,NULL,NULL
Central Florida Institute,FL,NULL,285,0.6456,0.1053,0.2105,0.0035,0.0035,0,0.0105,0,0.0211,NULL,NULL,NULL
Central Florida Institute,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Community Care College,OK,NULL,587,0.569,0.1806,0.0545,0.017,0.1346,0,0.0102,0,0.0341,NULL,NULL,NULL
Marinello Schools of Beauty-Topeka,KS,NULL,302,0.4272,0.1887,0.1325,0.0099,0.0066,0,0,0,0.2351,NULL,NULL,NULL
Marinello School of Beauty-Wichita,KS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Marinello School of Beauty-Overland Park,KS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Crossroads Bible College,IN,NULL,219,0.3562,0.484,0.0137,0.0274,0,0,0.0137,0,0.105,19050,12350,12350
Erie 1 BOCES,NY,NULL,155,0.6194,0.3097,0.0645,0.0065,0,0,0,0,0,NULL,NULL,NULL
Fayette Beauty Academy,GA,NULL,34,0.4412,0.5588,0,0,0,0,0,0,0,NULL,NULL,NULL
HDS Truck Driving Institute,AZ,NULL,120,0.475,0.1083,0.3917,0,0.0167,0,0.0083,0,0,NULL,NULL,NULL
International Training Careers,FL,NULL,280,0.0036,0,0.9964,0,0,0,0,0,0,NULL,NULL,NULL
King's University,CA,0.8587,372,0.6075,0.0968,0.1532,0.043,0,0,0.086,0,0.0134,19304,11475,11475
Lacy Cosmetology School-Aiken,SC,NULL,17,0.7059,0.2353,0.0588,0,0,0,0,0,0,NULL,NULL,NULL
Fortis College-Baton Rouge,LA,NULL,381,0.2152,0.7323,0.0131,0.0184,0.0052,0,0.0026,0,0.0131,28959,13694,13694
My Le's Beauty College,CA,NULL,33,0,0.0606,0.0606,0.8788,0,0,0,0,0,NULL,NULL,NULL
New Concept Massage and Beauty School,FL,NULL,39,0,0,1,0,0,0,0,0,0,NULL,NULL,NULL
New York College of Traditional Chinese Medicine,NY,NULL,64,0.125,0.0781,0.0313,0.6406,0,0,0,0.125,0,NULL,NULL,NULL
Fortis College-Orange Park,FL,NULL,266,0.5564,0.2895,0.094,0.0226,0.0038,0,0.0226,0,0.0113,24069,13493,13493
Northeastern Seminary,NY,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Bryan College-Gold River,CA,NULL,326,0.4877,0.1288,0.1656,0.0399,0.0092,0.0245,0.0736,0,0.0706,NULL,NULL,NULL
Omega Institute of Cosmetology,LA,NULL,67,0.791,0.0149,0.1045,0.0597,0.0299,0,0,0,0,NULL,NULL,NULL
Pacific Islands University,GU,0.8929,71,0.0986,0,0,0.0423,0,0.831,0,0.0282,0,19456,7630,7630
PCI College,CA,NULL,104,0.2019,0.0962,0.6058,0.0385,0.0096,0,0.0096,0,0.0385,NULL,NULL,NULL
Rosedale Bible College,OH,NULL,42,0.9286,0.0714,0,0,0,0,0,0,0,18792,8426,8426
American Career College at St Francis,CA,NULL,47,0,0.1702,0.7447,0.0213,0,0.0426,0.0213,0,0,NULL,NULL,NULL
Seattle Institute of Oriental Medicine,WA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Shawnee Beauty College,OK,NULL,26,0.6154,0,0.0769,0,0.3077,0,0,0,0,NULL,NULL,NULL
Acupuncture and Massage College,FL,NULL,35,0.2857,0.0857,0.5429,0.0286,0,0,0,0.0571,0,NULL,NULL,NULL
Southeastern School of Cosmetology,AL,NULL,84,0,1,0,0,0,0,0,0,0,NULL,NULL,NULL
Universal Therapeutic Massage Institute,NM,NULL,90,0.2889,0.0111,0.4889,0.0667,0.1,0,0.0444,0,0,NULL,NULL,NULL
Upper Valley Educators Institute,NH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Keck Graduate Institute,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Aviation Institute of Maintenance-Atlanta,GA,NULL,542,0.2509,0.572,0.0849,0.0369,0.0018,0,0.0185,0,0.0351,26132,18007,18007
National Beauty College,TX,NULL,50,0.44,0.3,0.26,0,0,0,0,0,0,NULL,NULL,NULL
Star Career Academy-Egg Harbor,NJ,NULL,318,0.3082,0.3648,0.261,0.0283,0.0031,0.0031,0.0252,0,0.0063,NULL,NULL,NULL
Empire Beauty School-Kennesaw,GA,NULL,188,0.1277,0.7819,0.0426,0.016,0,0.0053,0.016,0,0.0106,NULL,NULL,NULL
Anthem Career College-Nashville,TN,NULL,402,0.4726,0.3831,0.0498,0.0075,0.0025,0,0.0348,0,0.0498,28163,12728,12728
Anthem College-Irving,TX,NULL,288,0.1563,0.2882,0.3681,0.0139,0.0069,0,0.0382,0,0.1285,25424,11804,11804
Westwood College-River Oaks,IL,NULL,321,0.1277,0.6231,0.0405,0,0.0062,0,0.0436,0,0.1589,28458,14664,14664
Career Training Academy-Pittsburgh,PA,NULL,83,0.6627,0.2771,0.0361,0.0241,0,0,0,0,0,NULL,NULL,NULL
Huntingdon County Career and Technology Center,PA,0.4737,34,0.9706,0,0,0,0,0,0.0294,0,0,NULL,NULL,NULL
Missouri College of Cosmetology North,MO,NULL,88,0.9432,0.0114,0.0114,0,0,0,0,0,0.0341,NULL,NULL,NULL
New York Automotive and Diesel Institute,NY,NULL,276,0.1304,0.5109,0.2717,0.0254,0.0326,0.0036,0.0036,0,0.0217,NULL,NULL,NULL
Remington College-Baton Rouge Campus,LA,0.9038,300,0.2367,0.71,0.0167,0.0033,0.0067,0,0.0267,0,0,26370,15995,15995
Everest College-Ontario Metro,CA,NULL,962,0.1424,0.0863,0.6247,0.0541,0.001,0.0229,0.0582,0,0.0104,28017,14238,14238
Kaplan College-Beaumont,TX,NULL,268,0.3806,0.4552,0.1343,0.0149,0.0075,0.0037,0,0,0.0037,NULL,NULL,NULL
Kaplan College-Laredo,TX,NULL,329,0.0152,0,0.9726,0,0,0,0,0,0.0122,NULL,NULL,NULL
The Art Institute of Washington,VA,NULL,1485,0.0256,0.0451,0.132,0.0081,0,0,0,0,0.7892,29840,17596,17596
Everest Institute-Dearborn,MI,NULL,666,0.3018,0.5165,0.0691,0.009,0.0045,0.0045,0.0375,0,0.0571,NULL,NULL,NULL
Arkansas State University-Newport,AR,NULL,1311,0.7277,0.1442,0.0343,0.0031,0.0008,0,0.032,0.0107,0.0473,9282,2400,5266
Marlboro College-Graduate School,VT,NULL,14,0.7857,0.0714,0.0714,0,0.0714,0,0,0,0,NULL,NULL,NULL
University of Phoenix-Boston Campus,MA,NULL,181,0.3923,0.116,0.0773,0.0276,0.0055,0.0055,0,0.0331,0.3425,23434,10240,10240
University of Phoenix-Dallas Campus,TX,NULL,1337,0.1399,0.3313,0.1189,0.0045,0.0015,0.0037,0.0127,0.0082,0.3792,24294,11304,11304
University of Phoenix-Houston Campus,TX,NULL,1595,0.1185,0.3273,0.153,0.0088,0.0019,0.0038,0.015,0.0138,0.358,24179,11320,11320
University of Phoenix-Milwaukee Campus,WI,NULL,256,0.2617,0.3594,0.0273,0.0156,0.0039,0,0.0234,0,0.3086,24282,11320,11320
University of Phoenix-Idaho Campus,ID,NULL,283,0.5795,0.0141,0.0919,0.0035,0.0035,0,0.0106,0.0035,0.2933,24034,10840,10840
Westwood College-Inland Empire,CA,NULL,979,0.1256,0.0541,0.239,0.0184,0.001,0.001,0.0541,0,0.5066,28403,15134,15134
ITT Technical Institute-Levittown,PA,0.8718,380,0.4526,0.3,0.1421,0.0263,0.0026,0,0.0316,0,0.0447,26339,18048,18048
Atenas College,PR,NULL,1269,0,0,1,0,0,0,0,0,0,12367,6945,6945
Onondaga Cortland Madison BOCES,NY,NULL,503,0.8012,0.1153,0.0437,0.0159,0.0179,0.006,0,0,0,NULL,NULL,NULL
National American University-Ellsworth AFB Extension,SD,NULL,150,0.7267,0.1,0.0533,0.0333,0.0133,0.02,0.0467,0,0.0067,NULL,6447,6447
National American University-Albuquerque West,NM,NULL,346,0.3584,0.0549,0.3815,0.0029,0.1069,0,0.0809,0,0.0145,23988,NULL,NULL
National American University-Brooklyn Center,MN,NULL,755,0.4583,0.3722,0.0212,0.057,0.0066,0,0.0834,0,0.0013,20843,NULL,NULL
Interactive Learning Systems-Pasadena,TX,NULL,30,0.0333,0.0667,0.9,0,0,0,0,0,0,NULL,NULL,NULL
Pillar College,NJ,NULL,411,0.1071,0.5158,0.3066,0.0097,0,0.0049,0.0462,0,0.0097,26171,17204,17204
Miami Ad School-Minneapolis,MN,NULL,18,0.8333,0.0556,0.1111,0,0,0,0,0,0,NULL,NULL,NULL
Miami Ad School-San Francisco,CA,NULL,131,0.4122,0,0.0382,0.1145,0,0,0,0.3969,0.0382,NULL,NULL,NULL
Oregon State University-Cascades Campus,OR,NULL,765,0.8,0.0078,0.0588,0.0092,0.0248,0.0026,0.0471,0.0026,0.0471,NULL,NULL,NULL
Milan Institute-Amarillo,TX,NULL,162,0.3086,0.1667,0.4938,0.0062,0.0123,0,0,0.0062,0.0062,NULL,NULL,NULL
Vatterott College-Dividend,TN,NULL,882,0.0181,0.9705,0.0034,0.0011,0.0034,0,0.0011,0,0.0023,22068,12307,12307
Vatterott College-Tulsa,OK,NULL,164,0.5549,0.311,0.0305,0,0.0488,0,0.0183,0,0.0366,22488,12664,12664
Vatterott College-Wichita,KS,NULL,209,0.622,0.2632,0.0766,0.0096,0.0048,0,0.0239,0,0,22614,12242,12242
Star Career Academy-Newark,NJ,NULL,497,0.0302,0.6579,0.2555,0.002,0.008,0.002,0.006,0,0.0382,NULL,NULL,NULL
Southern University Law Center,LA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
International Academy of Design and Technology-Orlando,FL,NULL,345,0.1768,0.2348,0.2609,0.0174,0,0.0058,0.0261,0,0.2783,20648,15300,15300
Lincoln Technical Institute-Lowell,MA,NULL,388,0.2964,0.0541,0.3531,0.0902,0,0,0.0129,0,0.1933,NULL,NULL,NULL
Texas Barber Colleges and Hairstyling Schools,TX,NULL,907,0.0496,0.753,0.1907,0.0055,0.0011,0,0,0,0,NULL,NULL,NULL
Texas Barber Colleges and Hairstyling Schools Branch Campus #1,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Texas Barber Colleges and Hairstyling Schools Branch Campus #2,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Texas Barber Colleges and Hairstyling Schools Branch Campus #6,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Texas Barber Colleges and Hairstyling Schools Branch Campus #5,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Texas Barber Colleges and Hairstyling Schools Branch Campus #7,TX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Everest Institute-Hobby,TX,NULL,557,0.0646,0.325,0.5961,0.0054,0,0,0.0036,0,0.0054,NULL,NULL,NULL
Miller-Motte Technical College-North Charleston,SC,NULL,704,0.3736,0.5625,0.0284,0.0028,0.0057,0,0.0071,0,0.0199,25147,10360,10360
American Career College-Anaheim,CA,NULL,1565,0.1546,0.0652,0.4875,0.1642,0.0019,0.0313,0.0882,0,0.007,NULL,NULL,NULL
Saginaw Chippewa Tribal College,MI,NULL,105,0.1238,0.0286,0.0286,0.0095,0.8095,0,0,0,0,11862,2040,2040
Wyo Tech-Blairsville,PA,NULL,1277,0.7596,0.1042,0.0384,0.0047,0.0063,0.0008,0.0188,0,0.0673,NULL,NULL,NULL
Richmont Graduate University,TN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
The Seattle School of Theology & Psychology,WA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Northwest College-Hillsboro,OR,NULL,85,0.6706,0.0118,0.2353,0,0,0.0118,0.0588,0,0.0118,NULL,NULL,NULL
San Diego State University-Imperial Valley Campus,CA,0.607,693,0.0317,0.0029,0.9048,0.0101,0,0.0014,0.0043,0.0043,0.0404,NULL,NULL,NULL
American Broadcasting School-Arlington,TX,NULL,54,0.3889,0.6111,0,0,0,0,0,0,0,NULL,NULL,NULL
Miami-Jacobs Career College-Sharonville,OH,NULL,156,0.5321,0.359,0.0449,0.0064,0.0064,0,0.0064,0,0.0449,26935,12024,12024
East Valley Institute of Technology,AZ,NULL,343,0.5773,0.07,0.3061,0.0233,0.0087,0.0146,0,0,0,NULL,NULL,NULL
West Coast Ultrasound Institute,CA,NULL,683,0.4524,0.0878,0.3924,0.0673,0,0,0,0,0,44277,32900,32900
Design's School of Cosmetology,CA,NULL,61,0.7541,0.0656,0.1475,0.0328,0,0,0,0,0,NULL,NULL,NULL
Design's School of Cosmetology,CA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Paul Mitchell the School-Santa Barbara,CA,NULL,127,0.4803,0.0157,0.4567,0.0079,0.0236,0,0.0157,0,0,NULL,NULL,NULL
University of the Rockies,CO,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Eli Whitney Technical High School,CT,NULL,41,0.439,0.439,0.0488,0.0732,0,0,0,0,0,NULL,NULL,NULL
Vinal Technical High School,CT,1,29,0.5517,0.3448,0.1034,0,0,0,0,0,0,NULL,NULL,NULL
Windham Technical High School,CT,NULL,16,0.75,0,0.25,0,0,0,0,0,0,NULL,NULL,NULL
Harris School of Business-Wilmington Campus,DE,NULL,480,0.2771,0.5,0.15,0.0083,0,0.0063,0.05,0,0.0083,NULL,NULL,NULL
Ultimate Medical Academy-Clearwater,FL,NULL,359,0.4652,0.2368,0.1337,0.0084,0.0111,0,0.0139,0,0.1309,NULL,NULL,NULL
Florida Barber Academy,FL,NULL,201,0.1244,0.7612,0.0896,0,0.005,0,0.005,0,0.0149,NULL,NULL,NULL
Jacksonville Beauty Institute,FL,NULL,14,0,1,0,0,0,0,0,0,0,NULL,NULL,NULL
M-DCPS The English Center,FL,NULL,390,0.041,0.0103,0.9487,0,0,0,0,0,0,NULL,NULL,NULL
Florida Education Institute,FL,NULL,350,0.0029,0.0057,0.8686,0,0,0,0,0.1229,0,NULL,NULL,NULL
Superior Career Institute,FL,NULL,93,0.0108,0.8602,0.0753,0,0,0,0.0538,0,0,NULL,NULL,NULL
Institute of Technical Arts,FL,NULL,263,0.5703,0.057,0.365,0.0038,0.0038,0,0,0,0,NULL,NULL,NULL
National Graduate School of Quality Management,MA,NULL,33,0,0,0,0,0,0,0,0,1,NULL,NULL,NULL
Texas County Technical College,MO,NULL,139,0.9712,0.0144,0.0072,0,0,0.0072,0,0,0,25377,15533,15533
Aviation Institute of Maintenance-Kansas City,MO,NULL,92,0.5652,0.2935,0.0761,0.0109,0.0217,0.0109,0,0,0.0217,28756,NULL,NULL
Blue Cliff College-Gulfport,MS,NULL,274,0.4745,0.4781,0.0292,0.0073,0,0,0.0109,0,0,27622,15770,15770
Apex School of Theology,NC,NULL,620,0.0887,0.9113,0,0,0,0,0,0,0,10705,4900,4900
Institute for Therapeutic Massage,NJ,NULL,139,0.6115,0.1655,0.1511,0.0144,0.0216,0,0,0,0.036,NULL,NULL,NULL
Metropolitan Learning Institute,NY,NULL,864,0.0116,0.147,0.3356,0.5058,0,0,0,0,0,NULL,NULL,NULL
Orleans Niagara BOCES-Practical Nursing Program,NY,1,33,0.9091,0.0303,0,0.0303,0,0,0.0303,0,0,NULL,NULL,NULL
Yeshiva Shaarei Torah of Rockland,NY,1,116,1,0,0,0,0,0,0,0,0,26750,9850,9850
Leon Studio One School of Hair Design,NY,NULL,14,0.7857,0.0714,0.1429,0,0,0,0,0,0,NULL,NULL,NULL
St Joseph's Medical Center School of Radiography,NY,NULL,24,0.7917,0,0.0833,0.125,0,0,0,0,0,NULL,NULL,NULL
American Institute of Alternative Medicine,OH,0.9153,263,0.3574,0.4183,0.0114,0.0342,0.0152,0,0.0076,0,0.1559,25362,13895,13895
Brown Aveda Institute-Mentor,OH,NULL,149,0.8322,0.094,0.0201,0.0201,0,0,0.0268,0,0.0067,NULL,NULL,NULL
Institute of Technology Inc,OR,NULL,335,0.6597,0.0179,0.2478,0.009,0.0179,0.009,0.0328,0,0.006,NULL,NULL,NULL
Susquehanna County Career and Technology Center,PA,NULL,64,0.9844,0,0.0156,0,0,0,0,0,0,NULL,NULL,NULL
Universidad Pentecostal Mizpa,PR,NULL,355,0,0,1,0,0,0,0,0,0,10933,3640,3640
Caribbean Forensic and Technical College,PR,NULL,189,0,0,1,0,0,0,0,0,0,9161,6585,6585
Concorde Career College-Grand Prairie,TX,1,785,0.293,0.4395,0.1873,0.0191,0.0064,0.0013,0.0484,0,0.0051,NULL,NULL,NULL
Kussad Institute of Court Reporting,TX,NULL,18,0.7778,0,0.2222,0,0,0,0,0,0,12600,9700,9700
Lamar Institute of Technology,TX,NULL,2569,0.4998,0.3145,0.1113,0.03,0.0051,0,0.0027,0,0.0366,14321,4065,12489
MJ's Beauty Academy Inc,TX,NULL,68,0,1,0,0,0,0,0,0,0,NULL,NULL,NULL
Aviation Institute of Maintenance-Dallas,TX,NULL,341,0.349,0.3226,0.2082,0.0469,0.0117,0,0.0088,0.0029,0.0499,30146,18007,18007
Healing Mountain Massage School,UT,NULL,67,0.9552,0,0,0,0,0,0,0,0.0448,NULL,NULL,NULL
Career Training Solutions,VA,NULL,280,0.6571,0.2964,0.0464,0,0,0,0,0,0,NULL,NULL,NULL
Rudy & Kelly Academy of Hair and Nails,VA,NULL,228,0.6754,0.1886,0.0746,0.0044,0.0044,0,0.0439,0,0.0088,NULL,NULL,NULL
South Branch Career and Technical Center,WV,NULL,5,0.8,0.2,0,0,0,0,0,0,0,NULL,NULL,NULL
Nevada State College,NV,0.5037,3076,0.435,0.1151,0.2185,0.094,0.0059,0.0172,0.0595,0,0.0549,16547,4482,14758
Virginia College-Jackson,MS,NULL,376,0.0718,0.8963,0.0053,0.0027,0.0053,0,0.0106,0,0.008,NULL,NULL,NULL
Virginia College-Austin,TX,NULL,642,0.2492,0.2009,0.3692,0.0047,0.0016,0.0031,0.0109,0.0016,0.1589,22381,13701,13701
California State University-Channel Islands,CA,0.6443,4950,0.3804,0.0246,0.4147,0.0545,0.0038,0.002,0.0481,0.0012,0.0705,22570,6471,17631
ITT Technical Institute-Springfield,VA,0.8339,678,0.1298,0.559,0.1681,0.0605,0.0059,0,0.0074,0,0.0693,26613,18048,18048
ITT Technical Institute-Chantilly,VA,0.8703,573,0.3752,0.2286,0.2583,0.0855,0.0017,0,0.014,0,0.0366,26437,18048,18048
The Art Institute of California-Argosy University Orange County,CA,NULL,1761,0.1454,0.0176,0.3685,0.071,0.0017,0.0074,0.0256,0,0.3629,32068,18748,18748
Franklin W Olin College of Engineering,MA,0.1685,343,0.5335,0.0087,0.0408,0.172,0.0029,0,0.0612,0.0671,0.1137,59275,45156,45156
Lincoln Technical Institute-Northeast Philadelphia,PA,NULL,311,0.2862,0.4437,0.1704,0.0257,0.0032,0.0032,0.0482,0,0.0193,NULL,NULL,NULL
Lincoln Technical Institute-Center City Philadelphia,PA,NULL,478,0.0774,0.751,0.0837,0.0167,0.0042,0,0.0607,0,0.0063,NULL,NULL,NULL
Won Institute of Graduate Studies,PA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lincoln Technical Institute-Paramus,NJ,NULL,645,0.2047,0.3318,0.3798,0.0589,0,0,0.0217,0,0.0031,NULL,NULL,NULL
Pima Medical Institute-Colorado Springs,CO,NULL,543,0.582,0.0902,0.1952,0.0258,0.011,0.0018,0.0589,0,0.035,NULL,NULL,NULL
University of Phoenix-Kansas City Campus,MO,NULL,517,0.3211,0.2476,0.0561,0.0019,0.0039,0.0039,0.0271,0.0019,0.3366,24514,11320,11320
University of Phoenix-Atlanta Campus,GA,NULL,1350,0.0719,0.4881,0.0407,0.0044,0.0037,0.0037,0.0244,0.0119,0.3511,22715,10234,10234
University of Phoenix-Chicago Campus,IL,NULL,813,0.1328,0.3346,0.1082,0.0111,0.0025,0.0012,0.0197,0.0062,0.3838,24383,11320,11320
University of Phoenix-Nashville Campus,TN,NULL,1329,0.3883,0.237,0.0339,0.006,0.003,0.0015,0.0158,0.0053,0.3093,23234,10222,10222
University of Phoenix-Northern Virginia Campus,VA,NULL,650,0.2185,0.2938,0.08,0.0154,0.0031,0.0092,0.0123,0.0185,0.3492,22347,10240,10240
David's Academy of Beauty,CA,NULL,199,0,0,0.1809,0.8191,0,0,0,0,0,NULL,NULL,NULL
Birthwise Midwifery School,ME,1,58,0.8276,0.069,0.0345,0,0,0,0,0.069,0,NULL,11832,11832
Argosy University-Dallas,TX,NULL,218,0.2936,0.5,0.1697,0.0046,0,0.0046,0,0,0.0275,24365,NULL,NULL
Le Cordon Bleu College of Culinary Arts-Orlando,FL,NULL,961,0.0583,0.0239,0.0333,0.001,0.001,0,0.0052,0,0.8772,20936,12961,12961
Paul Mitchell the School-Costa Mesa,CA,NULL,188,0.5479,0.0319,0.2872,0.0426,0,0.0213,0.0532,0,0.016,NULL,NULL,NULL
Ave Maria School of Law,FL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tulsa Welding School-Jacksonville,FL,NULL,696,0.4425,0.2716,0.0575,0.0072,0.0029,0.0014,0.0287,0,0.1882,NULL,NULL,NULL
ITT Technical Institute-Canton,MI,0.6701,442,0.5543,0.3552,0.0226,0.0136,0.0023,0,0.0181,0,0.0339,27412,18048,18048
ITT Technical Institute-Plymouth Meeting,PA,0.8882,310,0.329,0.5065,0.0613,0.029,0.0065,0,0.0226,0,0.0452,27446,18048,18048
Pennsylvania College of Health Sciences,PA,0.5201,1394,0.8364,0.0445,0.0509,0.0294,0.0007,0.0029,0.0014,0,0.0337,28816,21502,21502
West Virginia Junior College-Bridgeport,WV,NULL,210,0.9667,0.0286,0.0048,0,0,0,0,0,0,17627,12650,12650
Vatterott College-Cleveland,OH,NULL,229,0.2314,0.7031,0.0306,0.0044,0,0,0.0087,0,0.0218,22369,12736,12736
St Louis College of Health Careers-Fenton,MO,0.3158,301,0.7342,0.186,0.01,0.0033,0.0033,0,0.0066,0,0.0565,NULL,NULL,NULL
Interactive College of Technology-Gainesville,GA,NULL,35,0.3143,0.1143,0.5429,0.0286,0,0,0,0,0,16580,8450,8450
San Joaquin Valley College-Ontario,CA,NULL,698,0.1719,0.0559,0.6103,0.0444,0.0043,0.0186,0.053,0.0229,0.0186,22689,17724,17724
Anthem Institute-Cherry Hill,NJ,NULL,251,0.2231,0.4064,0.239,0.012,0.004,0,0.0677,0,0.0478,28774,13225,13225
Alaska Christian College,AK,NULL,53,0.0943,0,0.0377,0,0.8302,0,0.0377,0,0,18094,7614,7614
Grantham University,MO,NULL,9521,0.3281,0.4509,0.0541,0.0103,0.0088,0.0036,0.0216,0.0001,0.1225,15252,6530,6530
Minnesota School of Business-Plymouth,MN,NULL,184,0.7663,0.0489,0.0326,0.0272,0.0109,0,0.0272,0,0.087,28206,14040,14040
Carrington College-Albuquerque,NM,1,647,0.2427,0.0263,0.5162,0.017,0.1607,0.0015,0.0201,0,0.0155,NULL,NULL,NULL
NASCAR Technical Institute,NC,NULL,1510,0.6166,0.1629,0.0887,0.0066,0.0086,0.002,0.045,0.0007,0.0689,NULL,NULL,NULL
Everest Institute-Tigard,OR,NULL,314,0.5987,0.0318,0.1815,0.0318,0.0159,0.0064,0.0541,0,0.0796,NULL,NULL,NULL
University of the Potomac-VA Campus,VA,NULL,26,0.1923,0.6538,0.0769,0.0385,0,0,0.0385,0,0,17800,13434,13434
Anthem Institute-Las Vegas,NV,NULL,289,0.1661,0.1592,0.2215,0.045,0.0035,0.0346,0.2976,0,0.0727,25370,12178,12178
Milan Institute-Palm Desert,CA,NULL,272,0.0993,0.0331,0.8162,0.0074,0.011,0.0074,0,0,0.0257,NULL,NULL,NULL
National American University-Overland Park,KS,NULL,470,0.4894,0.3298,0.066,0.0234,0.0064,0,0.083,0,0.0021,23880,NULL,NULL
Everest Institute-Austin,TX,NULL,880,0.2409,0.1932,0.4614,0.0091,0.0057,0.0057,0.0511,0,0.033,NULL,NULL,NULL
Everest College-Burr Ridge,IL,NULL,288,0.3681,0.1597,0.3542,0.0243,0.0035,0.0069,0.0486,0,0.0347,NULL,NULL,NULL
Medvance Institute-West Palm,FL,NULL,365,0.1781,0.3288,0.1945,0.0192,0.0055,0.0027,0.0192,0,0.2521,25314,22883,22883
Tohono O'Odham Community College,AZ,NULL,184,0.0435,0.0272,0.0109,0,0.8859,0.0054,0.0272,0,0,7853,1594,3706
Everest College-Dallas,TX,NULL,1071,0.0831,0.4977,0.3184,0.0047,0.0112,0.0009,0.0458,0,0.0383,30277,14976,14976
Edward Via College of Osteopathic Medicine,VA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
The Salter School-Malden Campus,MA,NULL,345,0.371,0.3246,0.2058,0.058,0.0058,0,0.0145,0,0.0203,NULL,NULL,NULL
Pacific College of Oriental Medicine-Chicago,IL,NULL,75,0.3333,0.2267,0.2,0.0667,0,0.0267,0.08,0,0.0667,27450,8496,8496
Southwest Institute of Healing Arts,AZ,NULL,1062,0.742,0.0621,0.1158,0.0169,0.0151,0.0047,0.0047,0,0.0386,NULL,NULL,NULL
InterCoast Colleges-Riverside,CA,NULL,84,0.2976,0.2381,0.4524,0,0,0.0119,0,0,0,NULL,NULL,NULL
Ottawa University-Jeffersonville,IN,NULL,87,0.3563,0.1609,0,0,0,0,0,0,0.4828,NULL,NULL,NULL
University of Antelope Valley,CA,NULL,793,0.3001,0.2005,0.4515,0.0202,0.0063,0.0088,0,0,0.0126,NULL,NULL,NULL
Birthingway College of Midwifery,OR,NULL,67,0.8507,0,0.0149,0.0299,0.0149,0,0.0149,0,0.0746,NULL,NULL,NULL
Blue Water College of Cosmetology Inc,MI,NULL,57,0.5965,0.3509,0.0351,0,0,0.0175,0,0,0,NULL,NULL,NULL
